Year Range,Projection,Background Points,Variable Group,Test AUC
2011-2040,ssp 126,10k,1,0.97
2011-2040,ssp 126,10k,2,0.9639
2011-2040,ssp 126,10k,3,0.9673
2011-2040,ssp 126,10k,4,0.9571
2011-2040,ssp 126,10k,5,0.9573
2011-2040,ssp 126,10k,6,0.9289
2011-2040,ssp 126,10k,7,0.9145
2011-2040,ssp 126,1k,1,0.8846
2011-2040,ssp 126,1k,2,0.876
2011-2040,ssp 126,1k,3,0.882
2011-2040,ssp 126,1k,4,0.8653
2011-2040,ssp 126,1k,5,0.9086
2011-2040,ssp 126,1k,6,0.9346
2011-2040,ssp 126,1k,7,0.8813
2011-2040,ssp 585,10k,1,0.9694
2011-2040,ssp 585,10k,2,0.9637
2011-2040,ssp 585,10k,3,0.967
2011-2040,ssp 585,10k,4,0.9588
2011-2040,ssp 585,10k,5,0.9571
2011-2040,ssp 585,10k,6,0.9277
2011-2040,ssp 585,10k,7,0.9145
2011-2040,ssp 585,1k,1,0.8817
2011-2040,ssp 585,1k,2,0.8744
2011-2040,ssp 585,1k,3,0.882
2011-2040,ssp 585,1k,4,0.8678
2011-2040,ssp 585,1k,5,0.9043
2011-2040,ssp 585,1k,6,0.9344
2011-2040,ssp 585,1k,7,0.8813
2041-2070,ssp 126,10k,1,0.9694
2041-2070,ssp 126,10k,2,0.9694
2041-2070,ssp 126,10k,3,0.9674
2041-2070,ssp 126,10k,4,0.9587
2041-2070,ssp 126,10k,5,0.9578
2041-2070,ssp 126,10k,6,0.9312
2041-2070,ssp 126,10k,7,0.9145
2041-2070,ssp 126,1k,1,0.8798
2041-2070,ssp 126,1k,2,0.8763
2041-2070,ssp 126,1k,3,0.8805
2041-2070,ssp 126,1k,4,0.864
2041-2070,ssp 126,1k,5,0.9054
2041-2070,ssp 126,1k,6,0.9359
2041-2070,ssp 126,1k,7,0.8813
2041-2070,ssp 585,10k,1,0.9689
2041-2070,ssp 585,10k,2,0.965
2041-2070,ssp 585,10k,3,0.9664
2041-2070,ssp 585,10k,4,0.9569
2041-2070,ssp 585,10k,5,0.9574
2041-2070,ssp 585,10k,6,0.928
2041-2070,ssp 585,10k,7,0.9145
2041-2070,ssp 585,1k,1,0.8892
2041-2070,ssp 585,1k,2,0.8855
2041-2070,ssp 585,1k,3,0.8878
2041-2070,ssp 585,1k,4,0.8675
2041-2070,ssp 585,1k,5,0.9071
2041-2070,ssp 585,1k,6,0.9328
2041-2070,ssp 585,1k,7,0.8813
Current,Current,1k,1,0.8733
Current,Current,1k,2,0.8697
Current,Current,1k,3,0.8769
Current,Current,1k,4,0.867
Current,Current,1k,5,0.8765
Current,Current,1k,6,0.9109
Current,Current,1k,7,0.8634
Current,Current,10k,1,0.9682
Current,Current,10k,2,0.9635
Current,Current,10k,3,0.9648
Current,Current,10k,4,0.9578
Current,Current,10k,5,0.9508
Current,Current,10k,6,0.9399
Current,Current,10k,7,0.9001